ID;Time[s];JTAG: States
624;0.862628;SHIFT-DR
625;0.862633;SHIFT-DR
626;0.862634;SHIFT-DR
627;0.862636;SHIFT-DR
628;0.862638;SHIFT-DR
629;0.86264;SHIFT-DR
630;0.862642;SHIFT-DR
631;0.862644;SHIFT-DR
632;0.862646;SHIFT-DR
633;0.862651;SHIFT-DR
634;0.862653;SHIFT-DR
635;0.862655;SHIFT-DR
636;0.862657;SHIFT-DR
637;0.862658;SHIFT-DR
638;0.86266;SHIFT-DR
639;0.862662;SHIFT-DR
640;0.862664;SHIFT-DR
641;0.862669;SHIFT-DR
642;0.862671;SHIFT-DR
643;0.862673;SHIFT-DR
644;0.862675;SHIFT-DR
645;0.862677;SHIFT-DR
646;0.862679;SHIFT-DR
647;0.862681;SHIFT-DR
648;0.862683;SHIFT-DR
649;0.862687;SHIFT-DR
650;0.862689;SHIFT-DR
651;0.862691;SHIFT-DR
652;0.862693;SHIFT-DR
653;0.862695;SHIFT-DR
654;0.862697;SHIFT-DR
655;0.862699;SHIFT-DR
656;0.862701;SHIFT-DR
657;0.862705;SHIFT-DR
658;0.862707;SHIFT-DR
659;0.862709;SHIFT-DR
660;0.862711;SHIFT-DR
661;0.862713;SHIFT-DR
662;0.862715;SHIFT-DR
663;0.862717;SHIFT-DR
664;0.862719;SHIFT-DR
665;0.862724;SHIFT-DR
666;0.862725;SHIFT-DR
667;0.862727;SHIFT-DR
668;0.862729;SHIFT-DR
669;0.862731;SHIFT-DR
670;0.862733;SHIFT-DR
671;0.862735;SHIFT-DR
672;0.862737;SHIFT-DR
673;0.862742;SHIFT-DR
674;0.862744;SHIFT-DR
675;0.862746;SHIFT-DR
676;0.862748;SHIFT-DR
677;0.862749;SHIFT-DR
678;0.862751;SHIFT-DR
679;0.862753;SHIFT-DR
680;0.862755;SHIFT-DR
681;0.86276;SHIFT-DR
682;0.862762;SHIFT-DR
683;0.862764;SHIFT-DR
684;0.862766;SHIFT-DR
685;0.862768;SHIFT-DR
686;0.86277;SHIFT-DR
687;0.862772;SHIFT-DR
688;0.862773;SHIFT-DR
689;0.862778;SHIFT-DR
690;0.86278;SHIFT-DR
691;0.862782;SHIFT-DR
692;0.862784;SHIFT-DR
693;0.862786;SHIFT-DR
694;0.862788;SHIFT-DR
695;0.86279;SHIFT-DR
696;0.862792;SHIFT-DR
697;0.862796;SHIFT-DR
698;0.862798;SHIFT-DR
699;0.8628;SHIFT-DR
700;0.862802;SHIFT-DR
701;0.862804;SHIFT-DR
702;0.862806;SHIFT-DR
703;0.862808;SHIFT-DR
704;0.86281;SHIFT-DR
705;0.862814;SHIFT-DR
706;0.862816;SHIFT-DR
707;0.862818;SHIFT-DR
708;0.86282;SHIFT-DR
709;0.862822;SHIFT-DR
710;0.862824;SHIFT-DR
711;0.862826;SHIFT-DR
712;0.862828;SHIFT-DR
713;0.862833;SHIFT-DR
714;0.862835;SHIFT-DR
715;0.862837;SHIFT-DR
716;0.862838;SHIFT-DR
717;0.86284;SHIFT-DR
718;0.862842;SHIFT-DR
719;0.862844;SHIFT-DR
720;0.862846;SHIFT-DR
721;0.862851;SHIFT-DR
722;0.862853;SHIFT-DR
723;0.862855;SHIFT-DR
724;0.862857;SHIFT-DR
725;0.862859;SHIFT-DR
726;0.862861;SHIFT-DR
727;0.862862;SHIFT-DR
728;0.862864;SHIFT-DR
729;0.862869;SHIFT-DR
730;0.862871;SHIFT-DR
731;0.862873;SHIFT-DR
732;0.862875;SHIFT-DR
733;0.862877;SHIFT-DR
734;0.862879;SHIFT-DR
735;0.862881;SHIFT-DR
736;0.862883;SHIFT-DR
737;0.862887;SHIFT-DR
738;0.862889;SHIFT-DR
739;0.862891;SHIFT-DR
740;0.862893;SHIFT-DR
741;0.862895;SHIFT-DR
742;0.862897;SHIFT-DR
743;0.862899;SHIFT-DR
744;0.862901;SHIFT-DR
745;0.862905;SHIFT-DR
746;0.862907;SHIFT-DR
747;0.862909;SHIFT-DR
748;0.862911;SHIFT-DR
749;0.862913;SHIFT-DR
750;0.862915;SHIFT-DR
751;0.862917;SHIFT-DR
752;0.862919;SHIFT-DR
753;0.862924;SHIFT-DR
754;0.862926;SHIFT-DR
755;0.862927;SHIFT-DR
756;0.862929;SHIFT-DR
757;0.862931;SHIFT-DR
758;0.862933;SHIFT-DR
759;0.862935;SHIFT-DR
760;0.862937;SHIFT-DR
761;0.862942;SHIFT-DR
762;0.862944;SHIFT-DR
763;0.862946;SHIFT-DR
764;0.862948;SHIFT-DR
765;0.86295;SHIFT-DR
766;0.862951;SHIFT-DR
767;0.862953;SHIFT-DR
768;0.862955;SHIFT-DR
769;0.86296;SHIFT-DR
770;0.862962;SHIFT-DR
771;0.862964;SHIFT-DR
772;0.862966;SHIFT-DR
773;0.862968;SHIFT-DR
774;0.86297;SHIFT-DR
775;0.862972;SHIFT-DR
776;0.862974;SHIFT-DR
777;0.862978;SHIFT-DR
778;0.86298;SHIFT-DR
779;0.862982;SHIFT-DR
780;0.862984;SHIFT-DR
781;0.862986;SHIFT-DR
782;0.862988;SHIFT-DR
783;0.86299;SHIFT-DR
784;0.862992;SHIFT-DR
785;0.862996;SHIFT-DR
786;0.862998;SHIFT-DR
787;0.863;SHIFT-DR
788;0.863002;SHIFT-DR
789;0.863004;SHIFT-DR
790;0.863006;SHIFT-DR
791;0.863008;SHIFT-DR
792;0.86301;SHIFT-DR
793;0.863507;SHIFT-DR
794;0.863509;SHIFT-DR
795;0.863511;SHIFT-DR
796;0.863513;SHIFT-DR
797;0.863515;SHIFT-DR
798;0.863517;SHIFT-DR
799;0.863519;SHIFT-DR
800;0.863521;SHIFT-DR
801;0.863526;SHIFT-DR
802;0.863528;SHIFT-DR
803;0.86353;SHIFT-DR
804;0.863531;SHIFT-DR
805;0.863533;SHIFT-DR
806;0.863535;SHIFT-DR
807;0.863537;SHIFT-DR
808;0.863539;SHIFT-DR
809;0.863544;SHIFT-DR
810;0.863546;SHIFT-DR
811;0.863548;SHIFT-DR
812;0.86355;SHIFT-DR
813;0.863552;SHIFT-DR
814;0.863554;SHIFT-DR
815;0.863556;SHIFT-DR
816;0.863557;SHIFT-DR
817;0.863562;SHIFT-DR
818;0.863564;SHIFT-DR
819;0.863566;SHIFT-DR
820;0.863568;SHIFT-DR
821;0.86357;SHIFT-DR
822;0.863572;SHIFT-DR
823;0.863574;SHIFT-DR
824;0.863576;SHIFT-DR
825;0.86358;SHIFT-DR
826;0.863582;SHIFT-DR
827;0.863584;SHIFT-DR
828;0.863586;SHIFT-DR
829;0.863588;SHIFT-DR
830;0.86359;SHIFT-DR
831;0.863592;SHIFT-DR
832;0.863594;SHIFT-DR
833;0.863598;SHIFT-DR
834;0.8636;SHIFT-DR
835;0.863602;SHIFT-DR
836;0.863604;SHIFT-DR
837;0.863606;SHIFT-DR
838;0.863608;SHIFT-DR
839;0.86361;SHIFT-DR
840;0.863612;SHIFT-DR
841;0.863617;SHIFT-DR
842;0.863619;SHIFT-DR
843;0.863621;SHIFT-DR
844;0.863622;SHIFT-DR
845;0.863624;SHIFT-DR
846;0.863626;SHIFT-DR
847;0.863628;SHIFT-DR
848;0.86363;SHIFT-DR
849;0.863635;SHIFT-DR
850;0.863637;SHIFT-DR
851;0.863639;SHIFT-DR
852;0.863641;SHIFT-DR
853;0.863643;SHIFT-DR
854;0.863645;SHIFT-DR
855;0.863646;SHIFT-DR
